2017-12-12 17:28:33,504 
source x = 0.0, source y = 0.0, angle = 0.0, distance = 1.0, world = empty.world, duration = 25.66
2017-12-20 19:05:58,941 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 487.38
2017-12-20 19:19:03,318 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 349.83
2017-12-20 19:34:22,391 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 552.9
2017-12-20 19:55:11,147 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 511.56
2017-12-21 12:28:43,634 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 332.86
2017-12-21 12:47:37,739 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 531.86
2017-12-21 13:05:47,506 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 382.36
2017-12-21 13:20:28,903 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 377.24
2017-12-21 13:34:33,891 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 462.64
2017-12-21 14:08:46,583 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 507.92
2017-12-21 14:38:50,316 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 47.22
2017-12-21 14:47:58,505 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 481.0
2017-12-21 15:06:17,782 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 466.32
2017-12-21 15:15:08,246 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 450.54
2017-12-21 15:37:24,415 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 511.93
2017-12-21 15:52:10,460 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 295.37
2017-12-21 16:01:40,274 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 475.23
2017-12-21 17:20:31,811 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 533.85
2017-12-22 11:47:50,515 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 104.72
2017-12-22 11:53:18,732 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 44.02
2017-12-22 11:56:38,832 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 63.98
2017-12-22 12:03:25,104 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 98.56
2017-12-22 12:05:49,531 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 44.03
2017-12-24 12:45:42,894 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 70.97
2017-12-24 12:50:00,168 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 65.19
2017-12-24 13:02:32,102 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 534.15
2017-12-24 13:19:15,455 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 509.27
2017-12-24 13:28:04,930 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 478.8
2017-12-24 13:51:47,817 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 344.07
2017-12-24 15:39:57,687 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 346.42
2017-12-24 15:51:16,566 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 364.22
2017-12-24 15:58:30,511 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 379.67
2017-12-24 17:24:03,403 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 387.37
2017-12-24 17:37:00,731 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 331.75
2017-12-24 17:46:39,933 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 553.39
2017-12-24 17:52:17,846 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 314.25
2017-12-24 18:10:56,090 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 415.86
2017-12-24 19:22:34,276 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 498.44
2017-12-24 19:33:58,621 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 564.96
2017-12-24 19:58:57,033 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 456.42
2017-12-24 20:11:25,717 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 460.41
2017-12-24 20:21:08,918 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 548.08
2017-12-25 11:54:39,797 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 594.97
2017-12-25 13:50:33,939 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 378.76
2017-12-25 15:51:23,798 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 463.46
2017-12-25 16:03:17,791 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 562.46
2017-12-25 17:08:07,748 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 421.68
2017-12-25 17:19:15,696 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 434.67
2017-12-26 12:58:15,999 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 567.95
2017-12-26 13:06:46,502 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 351.25
2017-12-26 13:54:40,589 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 377.84
2017-12-26 14:04:28,426 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 494.89
2017-12-26 14:24:30,653 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 737.35
2017-12-26 14:42:33,716 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 689.85
2017-12-26 14:58:27,699 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 545.18
2017-12-26 15:07:34,575 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 449.86
2017-12-26 15:18:53,949 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 459.07
2017-12-26 15:37:46,559 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 443.07
2017-12-26 16:27:01,418 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 556.66
2017-12-26 16:48:34,813 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 433.48
2017-12-26 17:11:38,062 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 617.27
2017-12-26 17:26:09,349 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 620.89
2017-12-26 17:36:44,765 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 420.16
2017-12-27 14:27:27,306 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 553.43
2017-12-27 14:42:03,031 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 641.05
2017-12-27 15:12:56,076 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 640.29
2017-12-27 15:31:27,231 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 534.09
2017-12-27 15:45:29,523 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 736.02
2017-12-27 16:01:42,371 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 527.44
2017-12-27 16:11:00,172 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 396.7
2017-12-27 16:22:11,248 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 594.46
2017-12-27 17:37:22,633 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 642.68
2017-12-27 19:01:52,229 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 538.47
2018-01-09 12:14:19,399 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 416.38
2018-01-09 12:21:40,421 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 328.28
2018-01-09 12:31:28,971 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 480.56
2018-01-09 12:38:05,631 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_1.world, duration = 326.67
2018-01-09 13:00:36,809 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 389.68
2018-01-09 13:14:27,621 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 659.11
2018-01-09 17:46:14,566 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 275.33
2018-01-09 17:51:41,715 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_2.world, duration = 290.12
2018-01-09 17:56:41,618 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 221.18
2018-01-09 18:01:23,878 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 230.07
2018-01-10 17:55:19,843 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 449.8
2018-01-10 18:06:45,709 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 451.13
2018-01-10 18:17:47,320 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 488.34
2018-01-10 18:37:13,338 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 523.51
2018-01-10 18:49:22,909 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_4.world, duration = 400.14
2018-01-10 19:05:59,760 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_4.world, duration = 505.78
2018-01-10 19:15:43,619 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_4.world, duration = 362.28
2018-01-10 20:09:27,159 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_4.world, duration = 652.59
2018-01-11 12:49:55,522 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_5.world, duration = 382.73
2018-01-11 15:03:24,715 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_5.world, duration = 170.52
2018-01-11 15:14:23,603 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 149.43
2018-01-11 15:35:35,983 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 131.44
2018-01-11 15:43:12,607 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 165.34
2018-01-11 16:54:44,762 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_0.world, duration = 206.8
2018-01-11 17:25:33,876 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_box.world, duration = 135.77
2018-01-11 17:38:28,581 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_box_1.world, duration = 160.48
2018-01-11 17:54:26,327 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_4.world, duration = 165.57
2018-01-11 18:08:01,165 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 168.59
2018-01-11 18:14:26,397 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 225.21
2018-01-11 18:24:18,212 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 164.05
2018-01-11 18:29:38,186 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 142.95
2018-01-11 18:33:31,000 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 131.7
2018-01-11 19:13:10,943 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building.world, duration = 225.61
2018-01-15 13:04:25,254 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 331.92
2018-01-15 13:10:38,560 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 329.99
2018-01-15 13:18:35,915 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 406.84
2018-01-15 13:34:07,695 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_3.world, duration = 367.71
2018-01-15 17:27:41,423 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 317.8
2018-01-15 17:34:08,814 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 341.77
2018-01-15 17:43:24,402 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 416.39
2018-01-15 17:49:12,737 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 302.75
2018-01-15 17:56:37,741 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_6.world, duration = 332.13
2018-01-16 15:14:37,832 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 374.95
2018-01-16 15:21:52,718 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 358.55
2018-01-16 15:29:16,225 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 349.76
2018-01-16 15:36:46,962 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 399.84
2018-01-16 15:48:56,276 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 394.7
2018-01-16 15:56:38,770 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 425.45
2018-01-16 16:05:31,548 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 447.33
2018-01-16 16:14:30,720 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 444.56
2018-01-16 16:22:13,621 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 419.75
2018-01-16 16:43:15,920 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 365.43
2018-01-16 16:57:42,364 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = building_version_7.world, duration = 446.67
2018-01-18 16:54:07,815 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 285.97
2018-01-18 17:02:42,558 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 251.95
2018-01-18 17:09:12,664 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 263.44
2018-01-18 17:17:51,954 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 213.87
2018-01-18 17:32:01,464 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 244.07
2018-01-18 17:36:51,133 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 247.16
2018-01-18 17:41:37,174 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 169.63
2018-01-18 17:46:30,853 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 253.33
2018-01-18 17:54:43,962 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 251.51
2018-01-18 17:58:49,886 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 209.42
2018-01-18 18:12:05,685 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 254.14
2018-01-18 19:04:26,825 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 233.87
2018-01-18 19:15:26,840 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 243.42
2018-01-18 19:19:20,953 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 201.3
2018-01-18 19:23:36,119 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 219.17
2018-01-18 19:28:09,775 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 241.4
2018-01-18 19:34:01,731 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 216.74
2018-01-18 19:40:01,801 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 275.91
2018-01-18 19:52:59,766 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 258.24
2018-01-18 20:02:36,008 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 208.8
2018-01-18 20:11:09,303 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 262.7
2018-01-18 20:14:47,718 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 185.05
2018-01-18 20:20:22,208 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor_obs.yaml, world = corridor/vert_corridor_obs.world, duration = 155.54
2018-01-18 20:28:10,455 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 201.42
2018-01-18 20:32:25,358 source x = 0.0, source y = 0.0, angle = 0.0, mapping = vert_corridor.yaml, world = corridor/vert_corridor.world, duration = 206.0
2018-01-21 11:53:34,018 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 48.53
2018-01-21 12:09:09,010 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 75.59
2018-01-21 12:12:03,831 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 53.74
2018-01-21 12:20:38,717 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 58.15
2018-01-21 12:21:57,151 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 55.12
2018-01-21 12:28:01,313 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 157.2
2018-01-21 13:01:25,938 source x = 0.0, source y = 0.0, angle = 0.0, mapping = building.yaml, world = buildings/building.world, duration = 88.62
